component,variable,prefix,marginal_cost,nominal,handle_separately
Generator,p,p,True,False,False
Generator,p_nom,p_nom,False,True,False
Line,s,s,False,False,False
Line,s_nom,s_nom,False,True,False
Transformer,s,s,False,False,False
Transformer,s_nom,s_nom,False,True,False
Link,p,p,True,False,False
Link,p_nom,p_nom,False,True,False
Store,e,e,False,False,False
Store,p,p,True,False,True
Store,e_nom,e_nom,False,True,False
StorageUnit,p_dispatch,p,True,False,False
StorageUnit,p_store,p,False,False,False
StorageUnit,state_of_charge,p,False,False,False
StorageUnit,p_nom,p_nom,False,True,False
StorageUnit,spill,,False,False,True

